Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
幾	jǐ	gei²	기		
島	dǎo	dou²	도	đảo	
禎	zhēn	zing¹	정		
祥	xiáng	coeng⁴	상		
妖	yāo	jiu¹	요	yêu	
鐸	duó	dok⁶	탁	đạc	
刻	kè	hak¹	각	khắc	
完	wán	jyun⁴	완	hoàn	
牛	niú	ngau⁴	우	ngưu	
