Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
節	jié	zit³	절	tiết	
另	lìng	ling⁶	령	lánh	
略	lüè	loek⁶	략?, 약?	lược	
途	tú	tou⁴	도	đồ	
閱	yuè	jyut⁶	열		
舛	chuǎn	cyun²	천		
昨	zuó	zok⁶	작		
欽	qīn	jam¹	흠	khâm	
佩	pèi	pui³	패		
檢	jiǎn	gim²	검	ghém	
附	fù	fu⁶	부	phò	
