Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
但	dàn	daan⁶	단		
第	dì	dai⁶	제	nồng?, đệ?	
惟	wéi	wai⁴	유		
徒	tú	tou⁴	도	đồ	
及	jí	kap⁶	급	cập	
年	nián	nin⁴	년?, 연?	nên	
免	miǎn	min⁵	면	miễn	
白	bái	baak⁶	백	bạch	
給	gěi	kap¹	급	cấp	
塞	sāi	sak¹	새?, 색?	tắc	
託	tuō	tok³	탁	thác	
余	yú	jyu⁴	여	dư	
否	fǒu	fau²	부	bĩ	
登	dēng	dang¹	등	đăng	
利	lì	lei⁶	리?, 이?	lợi	
怕	pà	paa³	파		
貨	huò	fo³	화	hoá	
仍	réng	jing⁴	잉	nhưng	
銷	xiāo	siu¹	소	tiu	
塲	cháng	coeng⁴			
政	zhèng	zing³	정	chính	
