Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
質	zhì	zat¹	질	chất	
煮	zhǔ	zyu²	자		
變	biàn	bin³	변	biến	
氷	bīng	bing¹	빙		
體	tǐ	tai²	체	thể	
定	dìng	ding⁶	정	định	
流	liú	lau⁴	류?, 유?	lưu	
氣	qì	hei³	기	khí	
油	yóu	jau⁴	유	dầu	
稍	shāo	saau²	초		
即	jí	zik¹	즉	tức	
燃	rán	jin⁴	연	nhen	
焚	fén	fan⁴	분		
凡	fán	faan⁴	범	phàm	
世	shì	sai³	세	thế	
著	zhe	zyu³	저	trứ	
