Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
宣	xuān	syun¹	선	tuyên	
羣	qún	kwan⁴			
昭	zhāo	ciu¹	소?, 조?		
奚	xī	hai⁴	해		
果	guǒ	gwo²	과	quả	
逆	nì	jik⁶	역	nghịch	
巨	jù	geoi⁶	거		
甲	jiǎ	gaap³	갑	giáp	
