Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
鷸	yù	wat⁶	휼		
蚝	háo	ci³			
蚌	bàng	pong⁵	방		
漁	yú	jyu⁴	어	ngư	
并	bìng	bing⁶	병		
擒	qín	kam⁴	금		
支	zhī	zi¹	지	chi	
弊	bì	bai⁶	폐	tệ	
計	jì	gai³	계	kể	
