Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
敏	mǐn	man⁵	민	mẫn	
麗	lì	lai⁶	려?, 여?	lệ	
盜	dào	dou⁶	도	dừa	
賊	zéi	caak⁶	적	tặc	
熟	shú	suk⁶	숙	thục	
派	pài	paai³	파	phái	
飾	shì	sik¹	식		
險	xiǎn	him²	험	hiểm	
危	wēi	ngai⁴	위	nguy	
