Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
最	zuì	zeoi³	최	tối	
頗	pō?, pǒ?	po²	파	phở	
極	jí	gik⁶	극	cực	
迥	jiǒng	gwing²	형		
殊	shū	syu⁴	수	thùa	
綦	qí	kei⁴	기		
絕	jué	zyut⁶	절		
儘	jǐn	zeon²	진		
親	qīn	can¹	친	thân	
宜	yí	ji⁴	의	nghi	
費	fèi	fai³	비	phí	
凌	líng	ling⁴	능?, 릉?	lăng	
辱	rǔ	juk⁶	욕	nhọc	
優	yōu	jau¹	우		
禮	lǐ	lai⁵	례?, 예?	lễ	
暹	xiān	cim³	섬	xiêm	
羅	luó	lo⁴	나?, 라?	la	
南	nán	naam⁴	남	nam	
覺	jué	gok³	각	giác	
明	míng	ming⁴	명	minh	
晰	xī	sik¹	석		
阻	zǔ	zo²	조	trở	
碍	ài	ngoi⁶	애	ngại	
表	biǎo	biu²	표	biểu	
情	qíng	cing⁴	정	tình	
樂	lè	lok⁶	낙?, 락?, 악?, 요?	lạc	
悲	bēi	bei¹	비	bi	
關	guān	gwaan¹	관	quan	
迴	huí	wui⁴	회	hồi	
解	jiě	gaai²	해	giải	
憐	lián	lin⁴	련?, 연?		
車	chē	ce¹	거?, 차?	xa	
律	lǜ	leot⁶	률?, 율?	luật	
命	mìng	ming⁶	명	mệnh	
係	xì	hai⁶	계	hệ	
棊	qí	kei⁴	기		
勿	wù	mat⁶	물	vật	
惡	è	ok³	악?, 오?	ác	
習	xí	zaap⁶	습	tập	
息	xī	sik¹	식	tức	
先	xiān	sin¹	선	tiên	
補	bǔ	bou²	보	bổ	
東	dōng	dung¹	동	hốc?, đông?	
色	sè	sik¹	색	sắc	
駭	hài	haai⁵	해	hãi	
